[1] Temp = 20.12 °C, Humidity = 50.54 %, Pressure = 939.99 hPa
[32] Temp = 23.68 °C, Humidity = 44.68 %, Pressure = 1014.46 hPa
[33] Temp = 15.08 °C, Humidity = 50.64 %, Pressure = 1014.46 hPa
[34] Temp = 28.03 °C, Humidity = 50.64 %, Pressure = 1098.33 hPa
[35] Temp = 38.07 °C, Humidity = 43.85 %, Pressure = 1098.33 hPa
[36] Temp = 25.91 °C, Humidity = 43.85 %, Pressure = 1098.33 hPa
[37] Temp = 32.33 °C, Humidity = 99.19 %, Pressure = 985.67 hPa
[38] Temp = 22.55 °C, Humidity = 99.19 %, Pressure = 985.67 hPa
[39] Temp = 15.70 °C, Humidity = 56.35 %, Pressure = 985.67 hPa
[40] Temp = 20.09 °C, Humidity = 56.35 %, Pressure = 966.80 hPa
[41] Temp = 33.65 °C, Humidity = 80.92 %, Pressure = 966.80 hPa
[42] Temp = 22.58 °C, Humidity = 80.92 %, Pressure = 966.80 hPa
[43] Temp = 17.35 °C, Humidity = 68.79 %, Pressure = 1083.92 hPa
[44] Temp = 26.09 °C, Humidity = 68.79 %, Pressure = 1083.92 hPa
[45] Temp = 35.84 °C, Humidity = 85.70 %, Pressure = 1083.92 hPa
[46] Temp = 21.83 °C, Humidity = 85.70 %, Pressure = 1021.37 hPa
[47] Temp = 20.89 °C, Humidity = 97.64 %, Pressure = 1021.37 hPa
[48] Temp = 34.48 °C, Humidity = 97.64 %, Pressure = 1021.37 hPa
[49] Temp = 30.95 °C, Humidity = 31.00 %, Pressure = 1039.85 hPa
[50] Temp = 39.61 °C, Humidity = 31.00 %, Pressure = 1039.85 hPa
[51] Temp = 23.17 °C, Humidity = 44.49 %, Pressure = 1039.85 hPa
[52] Temp = 23.21 °C, Humidity = 44.49 %, Pressure = 955.53 hPa
[53] Temp = 31.02 °C, Humidity = 32.34 %, Pressure = 955.53 hPa
[54] Temp = 26.66 °C, Humidity = 32.34 %, Pressure = 955.53 hPa
[55] Temp = 38.32 °C, Humidity = 74.12 %, Pressure = 984.24 hPa
[56] Temp = 19.80 °C, Humidity = 74.12 %, Pressure = 984.24 hPa
[57] Temp = 18.51 °C, Humidity = 31.90 %, Pressure = 984.24 hPa
[58] Temp = 16.32 °C, Humidity = 31.90 %, Pressure = 1057.52 hPa
[59] Temp = 18.16 °C, Humidity = 40.92 %, Pressure = 1057.52 hPa
[60] Temp = 18.64 °C, Humidity = 40.92 %, Pressure = 1057.52 hPa
[61] Temp = 30.50 °C, Humidity = 73.47 %, Pressure = 1011.98 hPa
[62] Temp = 36.74 °C, Humidity = 73.47 %, Pressure = 1011.98 hPa
[63] Temp = 22.32 °C, Humidity = 93.38 %, Pressure = 1011.98 hPa
[64] Temp = 26.37 °C, Humidity = 93.38 %, Pressure = 952.01 hPa
[65] Temp = 20.29 °C, Humidity = 86.02 %, Pressure = 952.01 hPa
[66] Temp = 26.28 °C, Humidity = 86.02 %, Pressure = 952.01 hPa
[67] Temp = 23.32 °C, Humidity = 82.74 %, Pressure = 913.86 hPa
[68] Temp = 39.06 °C, Humidity = 82.74 %, Pressure = 913.86 hPa
[69] Temp = 17.08 °C, Humidity = 48.76 %, Pressure = 913.86 hPa
[70] Temp = 30.03 °C, Humidity = 48.76 %, Pressure = 955.59 hPa
[71] Temp = 25.10 °C, Humidity = 89.17 %, Pressure = 955.59 hPa
[72] Temp = 23.76 °C, Humidity = 89.17 %, Pressure = 955.59 hPa
[73] Temp = 33.90 °C, Humidity = 68.86 %, Pressure = 1018.21 hPa
[74] Temp = 39.00 °C, Humidity = 68.86 %, Pressure = 1018.21 hPa
[75] Temp = 23.71 °C, Humidity = 50.61 %, Pressure = 1018.21 hPa
[76] Temp = 16.49 °C, Humidity = 50.61 %, Pressure = 1020.16 hPa
[77] Temp = 33.14 °C, Humidity = 98.36 %, Pressure = 1020.16 hPa
[78] Temp = 20.33 °C, Humidity = 98.36 %, Pressure = 1020.16 hPa
[79] Temp = 23.37 °C, Humidity = 89.31 %, Pressure = 960.54 hPa
[80] Temp = 28.48 °C, Humidity = 89.31 %, Pressure = 960.54 hPa
[81] Temp = 36.37 °C, Humidity = 46.01 %, Pressure = 960.54 hPa
[82] Temp = 39.32 °C, Humidity = 46.01 %, Pressure = 1066.45 hPa
[83] Temp = 38.36 °C, Humidity = 88.80 %, Pressure = 1066.45 hPa
[84] Temp = 21.21 °C, Humidity = 88.80 %, Pressure = 1066.45 hPa
[85] Temp = 35.59 °C, Humidity = 48.71 %, Pressure = 1061.22 hPa
[86] Temp = 20.40 °C, Humidity = 48.71 %, Pressure = 1061.22 hPa
[87] Temp = 21.28 °C, Humidity = 56.08 %, Pressure = 1061.22 hPa
[88] Temp = 27.93 °C, Humidity = 56.08 %, Pressure = 1033.26 hPa
[89] Temp = 30.73 °C, Humidity = 58.05 %, Pressure = 1033.26 hPa
[90] Temp = 20.11 °C, Humidity = 58.05 %, Pressure = 1033.26 hPa
[91] Temp = 32.14 °C, Humidity = 53.34 %, Pressure = 903.51 hPa
[92] Temp = 28.22 °C, Humidity = 53.34 %, Pressure = 903.51 hPa
[93] Temp = 23.60 °C, Humidity = 38.36 %, Pressure = 903.51 hPa
[94] Temp = 23.37 °C, Humidity = 38.36 %, Pressure = 951.15 hPa
[95] Temp = 35.38 °C, Humidity = 92.80 %, Pressure = 951.15 hPa
[96] Temp = 38.53 °C, Humidity = 92.80 %, Pressure = 951.15 hPa
[97] Temp = 38.15 °C, Humidity = 87.82 %, Pressure = 942.15 hPa
[98] Temp = 36.88 °C, Humidity = 87.82 %, Pressure = 942.15 hPa
[99] Temp = 19.62 °C, Humidity = 22.90 %, Pressure = 942.15 hPa
[100] Temp = 20.49 °C, Humidity = 22.90 %, Pressure = 1039.10 hPa
[101] Temp = 27.48 °C, Humidity = 39.74 %, Pressure = 1039.10 hPa
[102] Temp = 19.49 °C, Humidity = 39.74 %, Pressure = 1039.10 hPa
[103] Temp = 35.21 °C, Humidity = 30.48 %, Pressure = 1030.97 hPa
[104] Temp = 31.65 °C, Humidity = 30.48 %, Pressure = 1030.97 hPa
[105] Temp = 31.87 °C, Humidity = 76.38 %, Pressure = 1030.97 hPa
[106] Temp = 17.33 °C, Humidity = 76.38 %, Pressure = 1016.73 hPa
[107] Temp = 37.75 °C, Humidity = 90.22 %, Pressure = 1016.73 hPa
[108] Temp = 29.46 °C, Humidity = 90.22 %, Pressure = 1016.73 hPa
[109] Temp = 35.35 °C, Humidity = 38.58 %, Pressure = 959.62 hPa
[110] Temp = 18.56 °C, Humidity = 38.58 %, Pressure = 959.62 hPa
[111] Temp = 16.91 °C, Humidity = 84.01 %, Pressure = 959.62 hPa
[112] Temp = 29.06 °C, Humidity = 84.01 %, Pressure = 956.89 hPa
[113] Temp = 29.57 °C, Humidity = 59.96 %, Pressure = 956.89 hPa
[114] Temp = 20.68 °C, Humidity = 59.96 %, Pressure = 956.89 hPa
[115] Temp = 24.37 °C, Humidity = 30.73 %, Pressure = 929.30 hPa
[116] Temp = 25.48 °C, Humidity = 30.73 %, Pressure = 929.30 hPa
[117] Temp = 28.73 °C, Humidity = 77.38 %, Pressure = 929.30 hPa
[118] Temp = 24.23 °C, Humidity = 77.38 %, Pressure = 1090.60 hPa
[119] Temp = 37.13 °C, Humidity = 86.34 %, Pressure = 1090.60 hPa
[120] Temp = 16.51 °C, Humidity = 86.34 %, Pressure = 1090.60 hPa
[121] Temp = 29.95 °C, Humidity = 70.65 %, Pressure = 1005.76 hPa
[122] Temp = 25.84 °C, Humidity = 70.65 %, Pressure = 1005.76 hPa
[123] Temp = 28.01 °C, Humidity = 56.17 %, Pressure = 1005.76 hPa
[124] Temp = 23.75 °C, Humidity = 56.17 %, Pressure = 1054.02 hPa
[125] Temp = 26.25 °C, Humidity = 45.45 %, Pressure = 1054.02 hPa
[126] Temp = 15.67 °C, Humidity = 45.45 %, Pressure = 1054.02 hPa
[127] Temp = 21.42 °C, Humidity = 86.63 %, Pressure = 963.15 hPa
[128] Temp = 37.41 °C, Humidity = 86.63 %, Pressure = 963.15 hPa
[129] Temp = 18.74 °C, Humidity = 25.88 %, Pressure = 963.15 hPa
[130] Temp = 37.90 °C, Humidity = 25.88 %, Pressure = 927.77 hPa
[131] Temp = 17.81 °C, Humidity = 36.68 %, Pressure = 927.77 hPa
[132] Temp = 35.50 °C, Humidity = 36.68 %, Pressure = 927.77 hPa
[133] Temp = 27.45 °C, Humidity = 84.28 %, Pressure = 1079.37 hPa
[134] Temp = 39.66 °C, Humidity = 84.28 %, Pressure = 1079.37 hPa
[135] Temp = 16.55 °C, Humidity = 47.23 %, Pressure = 1079.37 hPa
[136] Temp = 18.64 °C, Humidity = 47.23 %, Pressure = 995.28 hPa
[137] Temp = 36.18 °C, Humidity = 77.36 %, Pressure = 995.28 hPa
[138] Temp = 25.48 °C, Humidity = 77.36 %, Pressure = 995.28 hPa
[139] Temp = 24.12 °C, Humidity = 97.04 %, Pressure = 947.50 hPa
[140] Temp = 27.87 °C, Humidity = 97.04 %, Pressure = 947.50 hPa
[141] Temp = 31.70 °C, Humidity = 83.98 %, Pressure = 947.50 hPa
[142] Temp = 38.25 °C, Humidity = 83.98 %, Pressure = 960.19 hPa
[143] Temp = 17.43 °C, Humidity = 27.73 %, Pressure = 960.19 hPa
[144] Temp = 16.81 °C, Humidity = 27.73 %, Pressure = 960.19 hPa
[145] Temp = 40.00 °C, Humidity = 61.92 %, Pressure = 970.22 hPa
[146] Temp = 18.97 °C, Humidity = 61.92 %, Pressure = 970.22 hPa
[147] Temp = 38.63 °C, Humidity = 24.32 %, Pressure = 970.22 hPa
[148] Temp = 37.63 °C, Humidity = 24.32 %, Pressure = 925.64 hPa
[149] Temp = 34.08 °C, Humidity = 38.35 %, Pressure = 925.64 hPa
[150] Temp = 29.05 °C, Humidity = 38.35 %, Pressure = 925.64 hPa
[151] Temp = 16.94 °C, Humidity = 58.26 %, Pressure = 985.74 hPa
[152] Temp = 27.45 °C, Humidity = 58.26 %, Pressure = 985.74 hPa
[153] Temp = 31.36 °C, Humidity = 32.57 %, Pressure = 985.74 hPa
[154] Temp = 39.30 °C, Humidity = 32.57 %, Pressure = 1088.54 hPa
[155] Temp = 34.09 °C, Humidity = 48.77 %, Pressure = 1088.54 hPa
[156] Temp = 22.95 °C, Humidity = 48.77 %, Pressure = 1088.54 hPa
[157] Temp = 17.24 °C, Humidity = 66.29 %, Pressure = 1083.80 hPa
[158] Temp = 35.57 °C, Humidity = 66.29 %, Pressure = 1083.80 hPa
[159] Temp = 27.58 °C, Humidity = 43.67 %, Pressure = 1083.80 hPa
[160] Temp = 21.88 °C, Humidity = 43.67 %, Pressure = 1049.95 hPa
[161] Temp = 39.30 °C, Humidity = 27.59 %, Pressure = 1049.95 hPa
[162] Temp = 26.70 °C, Humidity = 27.59 %, Pressure = 1049.95 hPa
[163] Temp = 22.38 °C, Humidity = 87.66 %, Pressure = 1069.39 hPa
[164] Temp = 36.88 °C, Humidity = 87.66 %, Pressure = 1069.39 hPa
[165] Temp = 35.66 °C, Humidity = 30.55 %, Pressure = 1069.39 hPa
[166] Temp = 20.71 °C, Humidity = 30.55 %, Pressure = 948.36 hPa
[167] Temp = 34.58 °C, Humidity = 72.68 %, Pressure = 948.36 hPa
[168] Temp = 38.27 °C, Humidity = 72.68 %, Pressure = 948.36 hPa
[169] Temp = 24.10 °C, Humidity = 73.57 %, Pressure = 1002.21 hPa
[170] Temp = 32.13 °C, Humidity = 73.57 %, Pressure = 1002.21 hPa
[171] Temp = 25.87 °C, Humidity = 86.23 %, Pressure = 1002.21 hPa
[172] Temp = 32.07 °C, Humidity = 86.23 %, Pressure = 1034.46 hPa
[173] Temp = 25.54 °C, Humidity = 49.46 %, Pressure = 1034.46 hPa
[174] Temp = 28.92 °C, Humidity = 49.46 %, Pressure = 1034.46 hPa
[175] Temp = 26.66 °C, Humidity = 77.56 %, Pressure = 957.73 hPa
[176] Temp = 19.48 °C, Humidity = 77.56 %, Pressure = 957.73 hPa
[177] Temp = 26.53 °C, Humidity = 45.13 %, Pressure = 957.73 hPa
[178] Temp = 23.48 °C, Humidity = 45.13 %, Pressure = 924.82 hPa
[179] Temp = 32.82 °C, Humidity = 61.26 %, Pressure = 924.82 hPa
[180] Temp = 30.38 °C, Humidity = 61.26 %, Pressure = 924.82 hPa
[181] Temp = 32.23 °C, Humidity = 20.76 %, Pressure = 1076.72 hPa
[182] Temp = 27.11 °C, Humidity = 20.76 %, Pressure = 1076.72 hPa
[183] Temp = 31.09 °C, Humidity = 62.31 %, Pressure = 1076.72 hPa
[184] Temp = 22.01 °C, Humidity = 62.31 %, Pressure = 1069.98 hPa
[185] Temp = 16.92 °C, Humidity = 21.32 %, Pressure = 1069.98 hPa
[186] Temp = 28.75 °C, Humidity = 21.32 %, Pressure = 1069.98 hPa
[187] Temp = 39.07 °C, Humidity = 92.02 %, Pressure = 926.91 hPa
[188] Temp = 19.61 °C, Humidity = 92.02 %, Pressure = 926.91 hPa
[189] Temp = 26.57 °C, Humidity = 64.29 %, Pressure = 926.91 hPa
[190] Temp = 28.47 °C, Humidity = 64.29 %, Pressure = 908.79 hPa
[191] Temp = 17.80 °C, Humidity = 56.65 %, Pressure = 908.79 hPa
[192] Temp = 27.53 °C, Humidity = 56.65 %, Pressure = 908.79 hPa
[193] Temp = 20.02 °C, Humidity = 53.93 %, Pressure = 915.69 hPa
[194] Temp = 34.65 °C, Humidity = 53.93 %, Pressure = 915.69 hPa
[195] Temp = 35.75 °C, Humidity = 59.91 %, Pressure = 915.69 hPa
[196] Temp = 18.79 °C, Humidity = 59.91 %, Pressure = 1001.81 hPa
[197] Temp = 32.43 °C, Humidity = 47.51 %, Pressure = 1001.81 hPa
[198] Temp = 20.54 °C, Humidity = 47.51 %, Pressure = 1001.81 hPa
[199] Temp = 34.04 °C, Humidity = 41.83 %, Pressure = 949.71 hPa
[200] Temp = 17.50 °C, Humidity = 41.83 %, Pressure = 949.71 hPa
[201] Temp = 21.02 °C, Humidity = 42.39 %, Pressure = 949.71 hPa
[202] Temp = 24.74 °C, Humidity = 42.39 %, Pressure = 950.88 hPa
[203] Temp = 22.40 °C, Humidity = 37.39 %, Pressure = 950.88 hPa
[204] Temp = 37.37 °C, Humidity = 37.39 %, Pressure = 950.88 hPa
[205] Temp = 30.69 °C, Humidity = 43.55 %, Pressure = 996.09 hPa
[206] Temp = 33.86 °C, Humidity = 43.55 %, Pressure = 996.09 hPa
[207] Temp = 38.24 °C, Humidity = 88.76 %, Pressure = 996.09 hPa
[208] Temp = 27.12 °C, Humidity = 88.76 %, Pressure = 983.60 hPa
[209] Temp = 19.56 °C, Humidity = 46.74 %, Pressure = 983.60 hPa
[210] Temp = 19.01 °C, Humidity = 46.74 %, Pressure = 983.60 hPa
[211] Temp = 15.57 °C, Humidity = 55.13 %, Pressure = 999.69 hPa
[212] Temp = 28.45 °C, Humidity = 55.13 %, Pressure = 999.69 hPa
[213] Temp = 15.46 °C, Humidity = 63.05 %, Pressure = 999.69 hPa
[214] Temp = 38.21 °C, Humidity = 63.05 %, Pressure = 953.35 hPa
[215] Temp = 26.79 °C, Humidity = 58.02 %, Pressure = 953.35 hPa
[216] Temp = 21.76 °C, Humidity = 58.02 %, Pressure = 953.35 hPa
